"","family.ID","sample.ID","paternal.ID","maternal.ID","sex","affection"
"298","HG01055","HG01055",0,0,0,-9
"299","HG01060","HG01060",0,0,0,-9
"300","HG01061","HG01061",0,0,0,-9
"301","HG01066","HG01066",0,0,0,-9
"302","HG01067","HG01067",0,0,0,-9
"303","HG01069","HG01069",0,0,0,-9
"304","HG01070","HG01070",0,0,0,-9
"305","HG01072","HG01072",0,0,0,-9
"306","HG01073","HG01073",0,0,0,-9
"307","HG01075","HG01075",0,0,0,-9
"308","HG01079","HG01079",0,0,0,-9
"309","HG01080","HG01080",0,0,0,-9
"310","HG01082","HG01082",0,0,0,-9
"311","HG01083","HG01083",0,0,0,-9
"312","HG01085","HG01085",0,0,0,-9
"313","HG01095","HG01095",0,0,0,-9
"314","HG01097","HG01097",0,0,0,-9
"315","HG01098","HG01098",0,0,0,-9
"316","HG01101","HG01101",0,0,0,-9
"317","HG01102","HG01102",0,0,0,-9
"318","HG01104","HG01104",0,0,0,-9
"319","HG01105","HG01105",0,0,0,-9
"320","HG01107","HG01107",0,0,0,-9
"321","HG01108","HG01108",0,0,0,-9
"322","HG01112","HG01112",0,0,0,-9
"323","HG01113","HG01113",0,0,0,-9
"324","HG01124","HG01124",0,0,0,-9
"325","HG01125","HG01125",0,0,0,-9
"326","HG01133","HG01133",0,0,0,-9
"327","HG01134","HG01134",0,0,0,-9
"328","HG01136","HG01136",0,0,0,-9
"329","HG01137","HG01137",0,0,0,-9
"330","HG01140","HG01140",0,0,0,-9
"331","HG01148","HG01148",0,0,0,-9
"332","HG01149","HG01149",0,0,0,-9
"333","HG01167","HG01167",0,0,0,-9
"334","HG01168","HG01168",0,0,0,-9
"335","HG01170","HG01170",0,0,0,-9
"336","HG01171","HG01171",0,0,0,-9
"337","HG01173","HG01173",0,0,0,-9
"338","HG01174","HG01174",0,0,0,-9
"339","HG01176","HG01176",0,0,0,-9
"340","HG01183","HG01183",0,0,0,-9
"341","HG01187","HG01187",0,0,0,-9
"342","HG01188","HG01188",0,0,0,-9
"343","HG01190","HG01190",0,0,0,-9
"344","HG01191","HG01191",0,0,0,-9
"345","HG01197","HG01197",0,0,0,-9
"346","HG01198","HG01198",0,0,0,-9
"347","HG01204","HG01204",0,0,0,-9
"348","HG01250","HG01250",0,0,0,-9
"349","HG01251","HG01251",0,0,0,-9
"350","HG01257","HG01257",0,0,0,-9
"351","HG01259","HG01259",0,0,0,-9
"352","HG01271","HG01271",0,0,0,-9
"353","HG01272","HG01272",0,0,0,-9
"354","HG01274","HG01274",0,0,0,-9
"355","HG01275","HG01275",0,0,0,-9
"356","HG01277","HG01277",0,0,0,-9
"357","HG01278","HG01278",0,0,0,-9
"358","HG01334","HG01334",0,0,0,-9
"359","HG01342","HG01342",0,0,0,-9
"360","HG01344","HG01344",0,0,0,-9
"361","HG01345","HG01345",0,0,0,-9
"362","HG01350","HG01350",0,0,0,-9
"363","HG01351","HG01351",0,0,0,-9
"364","HG01353","HG01353",0,0,0,-9
"365","HG01354","HG01354",0,0,0,-9
"366","HG01356","HG01356",0,0,0,-9
"367","HG01357","HG01357",0,0,0,-9
"368","HG01359","HG01359",0,0,0,-9
"369","HG01360","HG01360",0,0,0,-9
"370","HG01365","HG01365",0,0,0,-9
"371","HG01366","HG01366",0,0,0,-9
"372","HG01374","HG01374",0,0,0,-9
"373","HG01375","HG01375",0,0,0,-9
"374","HG01377","HG01377",0,0,0,-9
"375","HG01378","HG01378",0,0,0,-9
"376","HG01383","HG01383",0,0,0,-9
"377","HG01384","HG01384",0,0,0,-9
"378","HG01389","HG01389",0,0,0,-9
"379","HG01390","HG01390",0,0,0,-9
"380","HG01437","HG01437",0,0,0,-9
"381","HG01440","HG01440",0,0,0,-9
"382","HG01441","HG01441",0,0,0,-9
"383","HG01455","HG01455",0,0,0,-9
"384","HG01456","HG01456",0,0,0,-9
"385","HG01461","HG01461",0,0,0,-9
"386","HG01462","HG01462",0,0,0,-9
"387","HG01465","HG01465",0,0,0,-9
"388","HG01488","HG01488",0,0,0,-9
"389","HG01489","HG01489",0,0,0,-9
"390","HG01491","HG01491",0,0,0,-9
"391","HG01492","HG01492",0,0,0,-9
"392","HG01494","HG01494",0,0,0,-9
